date,time,home_team,away_team,participants,home_score,away_score,match_link,season,competition
22.08.2014,20:30,FC Bayern München,VfL Wolfsburg,71.137,2,1,/spielbericht/index/spielbericht/2460626,2014,Bundesliga
30.08.2014,18:30,FC Schalke 04,FC Bayern München,61.973,1,1,/spielbericht/index/spielbericht/2460635,2014,Bundesliga
13.09.2014,15:30,FC Bayern München,VfB Stuttgart,71.000,2,0,/spielbericht/index/spielbericht/2460644,2014,Bundesliga
20.09.2014,15:30,Hamburger SV,FC Bayern München,57.000,0,0,/spielbericht/index/spielbericht/2460658,2014,Bundesliga
23.09.2014,20:00,FC Bayern München,SC Paderborn,71.137,4,0,/spielbericht/index/spielbericht/2460662,2014,Bundesliga
27.09.2014,15:30,1.FC Köln,FC Bayern München,50.000,0,2,/spielbericht/index/spielbericht/2460678,2014,Bundesliga
04.10.2014,15:30,FC Bayern München,Hannover 96,71.000,4,0,/spielbericht/index/spielbericht/2460680,2014,Bundesliga
18.10.2014,15:30,FC Bayern München,Werder Bremen,71.000,6,0,/spielbericht/index/spielbericht/2460689,2014,Bundesliga
26.10.2014,17:30,Bor. M'gladbach,FC Bayern München,54.010,0,0,/spielbericht/index/spielbericht/2460701,2014,Bundesliga
01.11.2014,18:30,FC Bayern München,Bor. Dortmund,71.137,2,1,/spielbericht/index/spielbericht/2460707,2014,Bundesliga
08.11.2014,15:30,E. Frankfurt,FC Bayern München,51.500,0,4,/spielbericht/index/spielbericht/2460723,2014,Bundesliga
22.11.2014,15:30,FC Bayern München,TSG Hoffenheim,71.000,4,0,/spielbericht/index/spielbericht/2460725,2014,Bundesliga
29.11.2014,15:30,Hertha BSC,FC Bayern München,76.197,0,1,/spielbericht/index/spielbericht/2460739,2014,Bundesliga
06.12.2014,18:30,FC Bayern München,B. Leverkusen,71.000,1,0,/spielbericht/index/spielbericht/2460743,2014,Bundesliga
13.12.2014,15:30,FC Augsburg,FC Bayern München,30.660,0,4,/spielbericht/index/spielbericht/2460756,2014,Bundesliga
16.12.2014,20:00,FC Bayern München,SC Freiburg,71.000,2,0,/spielbericht/index/spielbericht/2460761,2014,Bundesliga
19.12.2014,20:30,1.FSV Mainz 05,FC Bayern München,34.000,1,2,/spielbericht/index/spielbericht/2460773,2014,Bundesliga
30.01.2015,20:30,VfL Wolfsburg,FC Bayern München,30.000,4,1,/spielbericht/index/spielbericht/2460781,2014,Bundesliga
03.02.2015,20:00,FC Bayern München,FC Schalke 04,75.000,1,1,/spielbericht/index/spielbericht/2460788,2014,Bundesliga
07.02.2015,15:30,VfB Stuttgart,FC Bayern München,60.000,0,2,/spielbericht/index/spielbericht/2460803,2014,Bundesliga
14.02.2015,15:30,FC Bayern München,Hamburger SV,75.000,8,0,/spielbericht/index/spielbericht/2460806,2014,Bundesliga
21.02.2015,15:30,SC Paderborn,FC Bayern München,15.000,0,6,/spielbericht/index/spielbericht/2460823,2014,Bundesliga
27.02.2015,20:30,FC Bayern München,1.FC Köln,75.000,4,1,/spielbericht/index/spielbericht/2460824,2014,Bundesliga
07.03.2015,15:30,Hannover 96,FC Bayern München,49.000,1,3,/spielbericht/index/spielbericht/2460836,2014,Bundesliga
14.03.2015,15:30,Werder Bremen,FC Bayern München,42.100,0,4,/spielbericht/index/spielbericht/2460849,2014,Bundesliga
22.03.2015,17:30,FC Bayern München,Bor. M'gladbach,75.024,0,2,/spielbericht/index/spielbericht/2460851,2014,Bundesliga
04.04.2015,18:30,Bor. Dortmund,FC Bayern München,80.667,0,1,/spielbericht/index/spielbericht/2460860,2014,Bundesliga
11.04.2015,15:30,FC Bayern München,E. Frankfurt,75.024,3,0,/spielbericht/index/spielbericht/2460869,2014,Bundesliga
18.04.2015,15:30,TSG Hoffenheim,FC Bayern München,30.150,0,2,/spielbericht/index/spielbericht/2460882,2014,Bundesliga
25.04.2015,18:30,FC Bayern München,Hertha BSC,75.024,1,0,/spielbericht/index/spielbericht/2460887,2014,Bundesliga
02.05.2015,18:30,B. Leverkusen,FC Bayern München,30.210,2,0,/spielbericht/index/spielbericht/2460897,2014,Bundesliga
09.05.2015,15:30,FC Bayern München,FC Augsburg,75.000,0,1,/spielbericht/index/spielbericht/2460905,2014,Bundesliga
16.05.2015,15:30,SC Freiburg,FC Bayern München,24.000,2,1,/spielbericht/index/spielbericht/2460921,2014,Bundesliga
23.05.2015,15:30,FC Bayern München,1.FSV Mainz 05,75.000,2,0,/spielbericht/index/spielbericht/2460923,2014,Bundesliga
17.09.2014,20:45,FC Bayern München,Manchester City,68.000,1,0,/spielbericht/index/spielbericht/2490851,2014,UEFA Champions League
30.09.2014,18:00,ZSKA Moskau,FC Bayern München,x,0,1,/spielbericht/index/spielbericht/2495294,2014,UEFA Champions League
21.10.2014,20:45,AS Rom,FC Bayern München,62.292,1,7,/spielbericht/index/spielbericht/2495311,2014,UEFA Champions League
05.11.2014,20:45,FC Bayern München,AS Rom,68.000,2,0,/spielbericht/index/spielbericht/2495335,2014,UEFA Champions League
25.11.2014,20:45,Manchester City,FC Bayern München,44.510,3,2,/spielbericht/index/spielbericht/2495344,2014,UEFA Champions League
10.12.2014,20:45,FC Bayern München,ZSKA Moskau,68.000,3,0,/spielbericht/index/spielbericht/2495367,2014,UEFA Champions League
17.02.2015,20:45,Shakhtar D.,FC Bayern München,34.187,0,0,/spielbericht/index/spielbericht/2517517,2014,UEFA Champions League
11.03.2015,20:45,FC Bayern München,Shakhtar D.,70.000,7,0,/spielbericht/index/spielbericht/2517525,2014,UEFA Champions League
15.04.2015,20:45,FC Porto,FC Bayern München,50.092,3,1,/spielbericht/index/spielbericht/2547351,2014,UEFA Champions League
21.04.2015,20:45,FC Bayern München,FC Porto,70.000,6,1,/spielbericht/index/spielbericht/2547382,2014,UEFA Champions League
06.05.2015,20:45,FC Barcelona,FC Bayern München,95.639,3,0,/spielbericht/index/spielbericht/2560716,2014,UEFA Champions League
12.05.2015,20:45,FC Bayern München,FC Barcelona,70.000,3,2,/spielbericht/index/spielbericht/2560717,2014,UEFA Champions League
17.08.2014,16:00,Pr. Münster,FC Bayern München,16.797,1,4,/spielbericht/index/spielbericht/2458313,2014,DFB-Pokal
29.10.2014,20:30,Hamburger SV,FC Bayern München,57.000,1,3,/spielbericht/index/spielbericht/2488533,2014,DFB-Pokal
04.03.2015,20:30,FC Bayern München,E. Braunschweig,75.000,2,0,/spielbericht/index/spielbericht/2507895,2014,DFB-Pokal
08.04.2015,20:30,B. Leverkusen,FC Bayern München,30.210,3,5,/spielbericht/index/spielbericht/2544474,2014,DFB-Pokal
28.04.2015,20:30,FC Bayern München,Bor. Dortmund,75.024,1,3,/spielbericht/index/spielbericht/2551355,2014,DFB-Pokal
13.08.2014,18:00,Bor. Dortmund,FC Bayern München,80.667,2,0,/spielbericht/index/spielbericht/2473697,2014,DFL-Supercup
14.08.2015,20:30,FC Bayern München,Hamburger SV,75.024,5,0,/spielbericht/index/spielbericht/2581147,2015,Bundesliga
22.08.2015,15:30,TSG Hoffenheim,FC Bayern München,30.150,1,2,/spielbericht/index/spielbericht/2581181,2015,Bundesliga
29.08.2015,18:30,FC Bayern München,B. Leverkusen,75.024,3,0,/spielbericht/index/spielbericht/2581183,2015,Bundesliga
12.09.2015,15:30,FC Bayern München,FC Augsburg,75.000,2,1,/spielbericht/index/spielbericht/2581192,2015,Bundesliga
19.09.2015,15:30,Darmstadt 98,FC Bayern München,17.000,0,3,/spielbericht/index/spielbericht/2581641,2015,Bundesliga
22.09.2015,20:00,FC Bayern München,VfL Wolfsburg,75.000,5,1,/spielbericht/index/spielbericht/2581642,2015,Bundesliga
26.09.2015,15:30,1.FSV Mainz 05,FC Bayern München,34.000,0,3,/spielbericht/index/spielbericht/2581659,2015,Bundesliga
04.10.2015,17:30,FC Bayern München,Bor. Dortmund,75.000,5,1,/spielbericht/index/spielbericht/2581666,2015,Bundesliga
17.10.2015,15:30,Werder Bremen,FC Bayern München,42.100,0,1,/spielbericht/index/spielbericht/2581680,2015,Bundesliga
24.10.2015,15:30,FC Bayern München,1.FC Köln,75.000,4,0,/spielbericht/index/spielbericht/2581690,2015,Bundesliga
30.10.2015,20:30,E. Frankfurt,FC Bayern München,51.500,0,0,/spielbericht/index/spielbericht/2581705,2015,Bundesliga
07.11.2015,15:30,FC Bayern München,VfB Stuttgart,75.000,4,0,/spielbericht/index/spielbericht/2581714,2015,Bundesliga
21.11.2015,18:30,FC Schalke 04,FC Bayern München,62.271,1,3,/spielbericht/index/spielbericht/2581723,2015,Bundesliga
28.11.2015,15:30,FC Bayern München,Hertha BSC,75.000,2,0,/spielbericht/index/spielbericht/2581738,2015,Bundesliga
05.12.2015,15:30,Bor. M'gladbach,FC Bayern München,54.010,3,1,/spielbericht/index/spielbericht/2581754,2015,Bundesliga
12.12.2015,15:30,FC Bayern München,FC Ingolstadt,75.000,2,0,/spielbericht/index/spielbericht/2581762,2015,Bundesliga
19.12.2015,15:30,Hannover 96,FC Bayern München,49.000,0,1,/spielbericht/index/spielbericht/2581783,2015,Bundesliga
22.01.2016,20:30,Hamburger SV,FC Bayern München,57.000,1,2,/spielbericht/index/spielbericht/2581788,2015,Bundesliga
31.01.2016,17:30,FC Bayern München,TSG Hoffenheim,75.000,2,0,/spielbericht/index/spielbericht/2581807,2015,Bundesliga
06.02.2016,18:30,B. Leverkusen,FC Bayern München,30.210,0,0,/spielbericht/index/spielbericht/2581823,2015,Bundesliga
14.02.2016,17:30,FC Augsburg,FC Bayern München,30.660,1,3,/spielbericht/index/spielbericht/2581847,2015,Bundesliga
20.02.2016,15:30,FC Bayern München,Darmstadt 98,75.024,3,1,/spielbericht/index/spielbericht/2581852,2015,Bundesliga
27.02.2016,15:30,VfL Wolfsburg,FC Bayern München,30.000,0,2,/spielbericht/index/spielbericht/2581868,2015,Bundesliga
02.03.2016,20:00,FC Bayern München,1.FSV Mainz 05,75.024,1,2,/spielbericht/index/spielbericht/2581888,2015,Bundesliga
05.03.2016,18:30,Bor. Dortmund,FC Bayern München,81.359,0,0,/spielbericht/index/spielbericht/2581903,2015,Bundesliga
12.03.2016,18:30,FC Bayern München,Werder Bremen,75.000,5,0,/spielbericht/index/spielbericht/2581918,2015,Bundesliga
19.03.2016,15:30,1.FC Köln,FC Bayern München,49.600,0,1,/spielbericht/index/spielbericht/2581940,2015,Bundesliga
02.04.2016,15:30,FC Bayern München,E. Frankfurt,75.000,1,0,/spielbericht/index/spielbericht/2581942,2015,Bundesliga
09.04.2016,15:30,VfB Stuttgart,FC Bayern München,60.000,1,3,/spielbericht/index/spielbericht/2581954,2015,Bundesliga
16.04.2016,18:30,FC Bayern München,FC Schalke 04,75.000,3,0,/spielbericht/index/spielbericht/2581960,2015,Bundesliga
23.04.2016,15:30,Hertha BSC,FC Bayern München,76.233,0,2,/spielbericht/index/spielbericht/2581976,2015,Bundesliga
30.04.2016,15:30,FC Bayern München,Bor. M'gladbach,75.000,1,1,/spielbericht/index/spielbericht/2581978,2015,Bundesliga
07.05.2016,15:30,FC Ingolstadt,FC Bayern München,15.617,1,2,/spielbericht/index/spielbericht/2581995,2015,Bundesliga
14.05.2016,15:30,FC Bayern München,Hannover 96,75.000,3,1,/spielbericht/index/spielbericht/2581996,2015,Bundesliga
16.09.2015,20:45,Olymp. Piräus,FC Bayern München,32.115,0,3,/spielbericht/index/spielbericht/2618546,2015,UEFA Champions League
29.09.2015,20:45,FC Bayern München,Dinamo Zagreb,70.000,5,0,/spielbericht/index/spielbericht/2618558,2015,UEFA Champions League
20.10.2015,20:45,FC Arsenal,FC Bayern München,60.000,2,0,/spielbericht/index/spielbericht/2618580,2015,UEFA Champions League
04.11.2015,20:45,FC Bayern München,FC Arsenal,70.000,5,1,/spielbericht/index/spielbericht/2618604,2015,UEFA Champions League
24.11.2015,20:45,FC Bayern München,Olymp. Piräus,70.000,4,0,/spielbericht/index/spielbericht/2618621,2015,UEFA Champions League
09.12.2015,20:45,Dinamo Zagreb,FC Bayern München,19.681,0,2,/spielbericht/index/spielbericht/2618636,2015,UEFA Champions League
23.02.2016,20:45,Juventus Turin,FC Bayern München,41.011,2,2,/spielbericht/index/spielbericht/2645810,2015,UEFA Champions League
16.03.2016,20:45,FC Bayern München,Juventus Turin,69.334,4,2,/spielbericht/index/spielbericht/2645818,2015,UEFA Champions League
05.04.2016,20:45,FC Bayern München,Benfica,70.000,1,0,/spielbericht/index/spielbericht/2675294,2015,UEFA Champions League
13.04.2016,20:45,Benfica,FC Bayern München,63.235,2,2,/spielbericht/index/spielbericht/2675298,2015,UEFA Champions League
27.04.2016,20:45,Atlético Madrid,FC Bayern München,52.127,1,0,/spielbericht/index/spielbericht/2682240,2015,UEFA Champions League
03.05.2016,20:45,FC Bayern München,Atlético Madrid,69.334,2,1,/spielbericht/index/spielbericht/2682242,2015,UEFA Champions League
09.08.2015,16:00,FC Nöttingen,FC Bayern München,29.486,1,3,/spielbericht/index/spielbericht/2576682,2015,DFB-Pokal
27.10.2015,20:30,VfL Wolfsburg,FC Bayern München,30.000,1,3,/spielbericht/index/spielbericht/2615047,2015,DFB-Pokal
15.12.2015,20:30,FC Bayern München,Darmstadt 98,70.000,1,0,/spielbericht/index/spielbericht/2636827,2015,DFB-Pokal
10.02.2016,20:30,VfL Bochum,FC Bayern München,28.000,0,3,/spielbericht/index/spielbericht/2646705,2015,DFB-Pokal
19.04.2016,20:30,FC Bayern München,Werder Bremen,75.024,2,0,/spielbericht/index/spielbericht/2664151,2015,DFB-Pokal
21.05.2016,20:00,FC Bayern München,Bor. Dortmund,74.322,4,3,/spielbericht/index/spielbericht/2684201,2015,DFB-Pokal
01.08.2015,20:30,VfL Wolfsburg,FC Bayern München,30.000,6,5,/spielbericht/index/spielbericht/2576512,2015,DFL-Supercup
26.08.2016,20:30,FC Bayern München,Werder Bremen,75.000,6,0,/spielbericht/index/spielbericht/2704204,2016,Bundesliga
09.09.2016,20:30,FC Schalke 04,FC Bayern München,62.271,0,2,/spielbericht/index/spielbericht/2704223,2016,Bundesliga
17.09.2016,15:30,FC Bayern München,FC Ingolstadt,75.000,3,1,/spielbericht/index/spielbericht/2704231,2016,Bundesliga
21.09.2016,20:00,FC Bayern München,Hertha BSC,75.000,3,0,/spielbericht/index/spielbericht/2704240,2016,Bundesliga
24.09.2016,15:30,Hamburger SV,FC Bayern München,57.000,0,1,/spielbericht/index/spielbericht/2704255,2016,Bundesliga
01.10.2016,15:30,FC Bayern München,1.FC Köln,75.000,1,1,/spielbericht/index/spielbericht/2704260,2016,Bundesliga
15.10.2016,15:30,E. Frankfurt,FC Bayern München,49.500,2,2,/spielbericht/index/spielbericht/2704277,2016,Bundesliga
22.10.2016,18:30,FC Bayern München,Bor. M'gladbach,75.000,2,0,/spielbericht/index/spielbericht/2704278,2016,Bundesliga
29.10.2016,15:30,FC Augsburg,FC Bayern München,30.660,1,3,/spielbericht/index/spielbericht/2704309,2016,Bundesliga
05.11.2016,15:30,FC Bayern München,TSG Hoffenheim,75.000,1,1,/spielbericht/index/spielbericht/2704313,2016,Bundesliga
19.11.2016,18:30,Bor. Dortmund,FC Bayern München,81.360,1,0,/spielbericht/index/spielbericht/2704331,2016,Bundesliga
26.11.2016,18:30,FC Bayern München,B. Leverkusen,75.000,2,1,/spielbericht/index/spielbericht/2704351,2016,Bundesliga
02.12.2016,20:30,1.FSV Mainz 05,FC Bayern München,34.000,1,3,/spielbericht/index/spielbericht/2704362,2016,Bundesliga
10.12.2016,15:30,FC Bayern München,VfL Wolfsburg,75.000,5,0,/spielbericht/index/spielbericht/2704425,2016,Bundesliga
18.12.2016,15:30,Darmstadt 98,FC Bayern München,17.400,0,1,/spielbericht/index/spielbericht/2704440,2016,Bundesliga
21.12.2016,20:00,FC Bayern München,RB Leipzig,75.000,3,0,/spielbericht/index/spielbericht/2704452,2016,Bundesliga
20.01.2017,20:30,SC Freiburg,FC Bayern München,24.000,1,2,/spielbericht/index/spielbericht/2704468,2016,Bundesliga
28.01.2017,15:30,Werder Bremen,FC Bayern München,42.100,1,2,/spielbericht/index/spielbericht/2704484,2016,Bundesliga
04.02.2017,15:30,FC Bayern München,FC Schalke 04,75.000,1,1,/spielbericht/index/spielbericht/2704497,2016,Bundesliga
11.02.2017,15:30,FC Ingolstadt,FC Bayern München,15.200,0,2,/spielbericht/index/spielbericht/2704510,2016,Bundesliga
18.02.2017,15:30,Hertha BSC,FC Bayern München,74.667,1,1,/spielbericht/index/spielbericht/2704527,2016,Bundesliga
25.02.2017,15:30,FC Bayern München,Hamburger SV,75.000,8,0,/spielbericht/index/spielbericht/2704542,2016,Bundesliga
04.03.2017,15:30,1.FC Köln,FC Bayern München,50.000,0,3,/spielbericht/index/spielbericht/2704554,2016,Bundesliga
11.03.2017,15:30,FC Bayern München,E. Frankfurt,75.000,3,0,/spielbericht/index/spielbericht/2704569,2016,Bundesliga
19.03.2017,17:30,Bor. M'gladbach,FC Bayern München,54.014,0,1,/spielbericht/index/spielbericht/2704579,2016,Bundesliga
01.04.2017,15:30,FC Bayern München,FC Augsburg,75.000,6,0,/spielbericht/index/spielbericht/2704587,2016,Bundesliga
04.04.2017,20:00,TSG Hoffenheim,FC Bayern München,30.150,1,0,/spielbericht/index/spielbericht/2704613,2016,Bundesliga
08.04.2017,18:30,FC Bayern München,Bor. Dortmund,75.000,4,1,/spielbericht/index/spielbericht/2704623,2016,Bundesliga
15.04.2017,18:30,B. Leverkusen,FC Bayern München,30.210,0,0,/spielbericht/index/spielbericht/2704642,2016,Bundesliga
22.04.2017,15:30,FC Bayern München,1.FSV Mainz 05,75.000,2,2,/spielbericht/index/spielbericht/2704650,2016,Bundesliga
29.04.2017,18:30,VfL Wolfsburg,FC Bayern München,30.000,0,6,/spielbericht/index/spielbericht/2704671,2016,Bundesliga
06.05.2017,15:30,FC Bayern München,Darmstadt 98,75.000,1,0,/spielbericht/index/spielbericht/2704677,2016,Bundesliga
13.05.2017,15:30,RB Leipzig,FC Bayern München,42.558,4,5,/spielbericht/index/spielbericht/2704703,2016,Bundesliga
20.05.2017,15:30,FC Bayern München,SC Freiburg,75.000,4,1,/spielbericht/index/spielbericht/2704704,2016,Bundesliga
13.09.2016,20:45,FC Bayern München,FK Rostov,70.000,5,0,/spielbericht/index/spielbericht/2754183,2016,UEFA Champions League
28.09.2016,20:45,Atlético Madrid,FC Bayern München,54.907,1,0,/spielbericht/index/spielbericht/2754912,2016,UEFA Champions League
19.10.2016,20:45,FC Bayern München,PSV Eindhoven,70.000,4,1,/spielbericht/index/spielbericht/2754921,2016,UEFA Champions League
01.11.2016,20:45,PSV Eindhoven,FC Bayern München,35.000,1,2,/spielbericht/index/spielbericht/2755696,2016,UEFA Champions League
23.11.2016,18:00,FK Rostov,FC Bayern München,15.211,3,2,/spielbericht/index/spielbericht/2755716,2016,UEFA Champions League
06.12.2016,20:45,FC Bayern München,Atlético Madrid,70.000,1,0,/spielbericht/index/spielbericht/2755733,2016,UEFA Champions League
15.02.2017,20:45,FC Bayern München,FC Arsenal,70.000,5,1,/spielbericht/index/spielbericht/2805640,2016,UEFA Champions League
07.03.2017,20:45,FC Arsenal,FC Bayern München,59.911,1,5,/spielbericht/index/spielbericht/2805648,2016,UEFA Champions League
12.04.2017,20:45,FC Bayern München,Real Madrid,70.000,1,2,/spielbericht/index/spielbericht/2840937,2016,UEFA Champions League
18.04.2017,20:45,Real Madrid,FC Bayern München,78.346,4,2,/spielbericht/index/spielbericht/2840941,2016,UEFA Champions League
19.08.2016,20:45,Carl Zeiss Jena,FC Bayern München,19.000,0,5,/spielbericht/index/spielbericht/2699234,2016,DFB-Pokal
26.10.2016,20:45,FC Bayern München,FC Augsburg,73.500,3,1,/spielbericht/index/spielbericht/2754880,2016,DFB-Pokal
07.02.2017,20:45,FC Bayern München,VfL Wolfsburg,73.500,1,0,/spielbericht/index/spielbericht/2770147,2016,DFB-Pokal
01.03.2017,20:45,FC Bayern München,FC Schalke 04,75.000,3,0,/spielbericht/index/spielbericht/2823316,2016,DFB-Pokal
26.04.2017,20:45,FC Bayern München,Bor. Dortmund,75.000,2,3,/spielbericht/index/spielbericht/2840056,2016,DFB-Pokal
14.08.2016,20:30,Bor. Dortmund,FC Bayern München,81.360,0,2,/spielbericht/index/spielbericht/2702100,2016,DFL-Supercup
18.08.2017,20:30,FC Bayern München,B. Leverkusen,75.000,3,1,/spielbericht/index/spielbericht/2871495,2017,Bundesliga
26.08.2017,15:30,Werder Bremen,FC Bayern München,42.100,0,2,/spielbericht/index/spielbericht/2871546,2017,Bundesliga
09.09.2017,18:30,TSG Hoffenheim,FC Bayern München,30.150,2,0,/spielbericht/index/spielbericht/2871591,2017,Bundesliga
16.09.2017,15:31,FC Bayern München,1.FSV Mainz 05,75.000,4,0,/spielbericht/index/spielbericht/2871655,2017,Bundesliga
19.09.2017,20:30,FC Schalke 04,FC Bayern München,62.271,0,3,/spielbericht/index/spielbericht/2871695,2017,Bundesliga
22.09.2017,20:30,FC Bayern München,VfL Wolfsburg,75.024,2,2,/spielbericht/index/spielbericht/2871727,2017,Bundesliga
01.10.2017,15:30,Hertha BSC,FC Bayern München,71.212,2,2,/spielbericht/index/spielbericht/2871774,2017,Bundesliga
14.10.2017,15:30,FC Bayern München,SC Freiburg,75.000,5,0,/spielbericht/index/spielbericht/2871809,2017,Bundesliga
21.10.2017,18:32,Hamburger SV,FC Bayern München,57.000,0,1,/spielbericht/index/spielbericht/2871861,2017,Bundesliga
28.10.2017,18:30,FC Bayern München,RB Leipzig,75.000,2,0,/spielbericht/index/spielbericht/2871899,2017,Bundesliga
04.11.2017,18:30,Bor. Dortmund,FC Bayern München,81.360,1,3,/spielbericht/index/spielbericht/2871953,2017,Bundesliga
18.11.2017,15:30,FC Bayern München,FC Augsburg,75.000,3,0,/spielbericht/index/spielbericht/2871989,2017,Bundesliga
25.11.2017,18:30,Bor. M'gladbach,FC Bayern München,54.018,2,1,/spielbericht/index/spielbericht/2872029,2017,Bundesliga
02.12.2017,15:30,FC Bayern München,Hannover 96,75.000,3,1,/spielbericht/index/spielbericht/2871980,2017,Bundesliga
09.12.2017,15:30,E. Frankfurt,FC Bayern München,51.500,0,1,/spielbericht/index/spielbericht/2871939,2017,Bundesliga
13.12.2017,20:30,FC Bayern München,1.FC Köln,75.000,1,0,/spielbericht/index/spielbericht/2871908,2017,Bundesliga
16.12.2017,15:30,VfB Stuttgart,FC Bayern München,58.885,0,1,/spielbericht/index/spielbericht/2871880,2017,Bundesliga
12.01.2018,20:30,B. Leverkusen,FC Bayern München,30.210,1,3,/spielbericht/index/spielbericht/2871486,2017,Bundesliga
21.01.2018,15:30,FC Bayern München,Werder Bremen,75.000,4,2,/spielbericht/index/spielbericht/2871507,2017,Bundesliga
27.01.2018,15:30,FC Bayern München,TSG Hoffenheim,75.000,5,2,/spielbericht/index/spielbericht/2871564,2017,Bundesliga
03.02.2018,15:30,1.FSV Mainz 05,FC Bayern München,34.000,0,2,/spielbericht/index/spielbericht/2871653,2017,Bundesliga
10.02.2018,18:30,FC Bayern München,FC Schalke 04,75.000,2,1,/spielbericht/index/spielbericht/2871673,2017,Bundesliga
17.02.2018,15:30,VfL Wolfsburg,FC Bayern München,30.000,1,2,/spielbericht/index/spielbericht/2871726,2017,Bundesliga
24.02.2018,15:30,FC Bayern München,Hertha BSC,75.000,0,0,/spielbericht/index/spielbericht/2871754,2017,Bundesliga
04.03.2018,18:00,SC Freiburg,FC Bayern München,24.000,0,4,/spielbericht/index/spielbericht/2872108,2017,Bundesliga
10.03.2018,15:30,FC Bayern München,Hamburger SV,75.000,6,0,/spielbericht/index/spielbericht/2871791,2017,Bundesliga
18.03.2018,18:03,RB Leipzig,FC Bayern München,42.558,2,1,/spielbericht/index/spielbericht/2871828,2017,Bundesliga
31.03.2018,18:30,FC Bayern München,Bor. Dortmund,75.000,6,0,/spielbericht/index/spielbericht/2872016,2017,Bundesliga
07.04.2018,15:30,FC Augsburg,FC Bayern München,30.660,1,4,/spielbericht/index/spielbericht/2872049,2017,Bundesliga
14.04.2018,18:30,FC Bayern München,Bor. M'gladbach,75.000,5,1,/spielbericht/index/spielbericht/2872061,2017,Bundesliga
21.04.2018,15:32,Hannover 96,FC Bayern München,49.000,0,3,/spielbericht/index/spielbericht/2872077,2017,Bundesliga
