name,position,age,value,team,season
Loris Karius,GK,22,"5,00 Mio. €",1.FSV Mainz 05,2014
Stefanos Kapino,GK,21,"2,00 Mio. €",1.FSV Mainz 05,2014
Robin Zentner,GK,20,250 Tsd. €,1.FSV Mainz 05,2014
Philipp Wollscheid,CB,26,"4,00 Mio. €",1.FSV Mainz 05,2014
Stefan Bell,CB,23,"3,50 Mio. €",1.FSV Mainz 05,2014
Niko Bungert,CB,28,"2,50 Mio. €",1.FSV Mainz 05,2014
Gonzalo Jara,CB,29,"1,75 Mio. €",1.FSV Mainz 05,2014
Júnior Díaz,CB,31,"1,00 Mio. €",1.FSV Mainz 05,2014
Nikolce Noveski,CB,36,500 Tsd. €,1.FSV Mainz 05,2014
Damian Roßbach,CB,22,350 Tsd. €,1.FSV Mainz 05,2014
Fabian Kalig,CB,22,250 Tsd. €,1.FSV Mainz 05,2014
Ju-ho Park,LB,28,"2,50 Mio. €",1.FSV Mainz 05,2014
Pierre Neurath Bengtsson,LB,27,"1,50 Mio. €",1.FSV Mainz 05,2014
Daniel Brosinski,RB,26,"2,50 Mio. €",1.FSV Mainz 05,2014
Benedikt Saller,RB,22,600 Tsd. €,1.FSV Mainz 05,2014
Johannes Geis,CDM,21,"9,00 Mio. €",1.FSV Mainz 05,2014
Julian Baumgartlinger,CDM,27,"4,00 Mio. €",1.FSV Mainz 05,2014
Niki Zimling,CDM,30,"2,00 Mio. €",1.FSV Mainz 05,2014
Julian Koch,CDM,24,750 Tsd. €,1.FSV Mainz 05,2014
Ja-cheol Koo,CM,26,"4,50 Mio. €",1.FSV Mainz 05,2014
Christoph Moritz,CM,25,"2,50 Mio. €",1.FSV Mainz 05,2014
Elkin Soto,CM,34,500 Tsd. €,1.FSV Mainz 05,2014
