name,position,age,value,team,season
Milos Mandic,GK,30,125 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Celio Rocha,GK,26,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Tim Becker,GK,23,25 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Michael Wessel,CB,27,100 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Stefan Heyken,CB,32,100 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Viktor Pekrul,RB,32,75 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Jeffrey Obst,RB,21,75 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Youness Buduar,RB,23,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Marius Winkelmann,CDM,24,100 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Jeff Gyasi,CDM,26,100 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Marcel Stutter,CDM,27,100 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Matthias Tietz,CDM,25,75 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Malte Grashoff,CDM,23,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Taiki Hirooka,CDM,25,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Khalid Lahyani,CM,22,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Jeff-Denis Fehr,LM,20,50 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Axel France,LM,24,25 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Kresimir Matovina,LM,23,25 Tsd. €,BSV Schwarz-Weiß Rehden,2014
Kevin Artmann,CAM,29,125 Tsd. €,BSV Schwarz-Weiß Rehden,2014
